,Vid-Title,Playlist-Name,channel-Title,Views,Published-date,Likes,Comment-count,Vid-ID
0,J Balvin & Ed Sheeran - Forever My Love [Official Video],Favorites,Ed Sheeran,18165272,2022-03-25T00:00:12Z,450973,14381,bqtMJ391poA
1,J Balvin & Ed Sheeran - Sigue [Official Video],Favorites,jbalvinVEVO,27972660,2022-03-25T00:00:08Z,459243,18223,8pIzxS_G8-g
2,"J Balvin, Ed Sheeran - Sigue (Lyric Video)",Favorites,jbalvinVEVO,526876,2022-05-31T16:00:02Z,13112,270,3dCARL28qKs
3,"J Balvin, Ed Sheeran - Forever My Love (Lyric Video)",Favorites,jbalvinVEVO,588625,2022-05-31T16:00:25Z,15737,449,nKYFMqmV_Hg
4,"J Balvin, Willy William - Mi Gente (Official Video)",Favorites,jbalvinVEVO,3236098234,2017-06-30T04:00:05Z,17722245,522956,wnJ6LuUFpMo
5,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,Favorites,NickyJamTV,2166831112,2018-03-02T05:00:19Z,10014747,262745,_I_D_8Z4sJE
6,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",Favorites,RosaliaVEVO,2090704058,2019-03-28T17:00:06Z,9434107,281936,p7bfOZek9t4
7,J. Balvin - Ay Vamos (Official Video),Favorites,jbalvinVEVO,1937781026,2014-08-29T16:06:21Z,5415499,133196,TapXs54Ah3E
8,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",Favorites,Anuel AA,2035225867,2019-07-19T14:03:10Z,8552853,307522,0VR3dfZf9Yg
9,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",Favorites,JhayCortezVEVO,2066414306,2019-05-17T04:00:03Z,6103683,108611,w2C6RhQBYlg
10,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Favorites,Cardi B,1558285735,2018-05-29T14:05:10Z,10471382,315680,xTlNMmZKwpA
11,"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",Favorites,ChrisJediVEVO,1375118431,2017-03-20T04:00:01Z,4904465,156723,c73Cu3TQnlg
12,J Balvin - 6 AM ft. Farruko,Favorites,jbalvinVEVO,1191956910,2014-04-04T19:30:01Z,2996229,68452,yUV9JwiQLog
13,Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),Favorites,Zion & Lennox,1230064961,2016-08-05T15:00:01Z,2936249,77090,6R5i6wQCOCQ
14,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",Favorites,jbalvinVEVO,1100880377,2016-09-02T07:00:00Z,3931649,92683,JWESLtAKKlU
15,J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),Favorites,jbalvinVEVO,1002715741,2017-03-04T00:00:01Z,3626519,117603,Km4BayZykwE
16,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",Favorites,BlackEyedPeasVEVO,1041955729,2019-10-11T04:00:04Z,6495226,130713,EzKkl64rRbM
17,"David Guetta, Bebe Rexha & J Balvin - Say My Name (Official Video)",Favorites,David Guetta,992035551,2018-11-20T19:00:06Z,5766324,90681,ft4jcPSLJfY
18,Sensualidad - Bad Bunny X Prince Royce X J Balvin X Dj Luian X Mambo Kingz,Favorites,Hear This Music,906523202,2017-11-03T04:00:11Z,4155736,140465,ovX1HloCgdA
19,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",Favorites,jbalvinVEVO,1100880377,2016-09-02T07:00:00Z,3931649,92683,JWESLtAKKlU
20,"J. Balvin, Jowell & Randy - Bonita (Official Video)",Favorites,jbalvinVEVO,441939740,2017-06-02T04:00:00Z,2010732,54769,SqpvOqRieYY
21,J. Balvin - Ay Vamos (Official Video),Favorites,jbalvinVEVO,1937781026,2014-08-29T16:06:21Z,5415499,133196,TapXs54Ah3E
22,J Balvin - Morado (Official Video),Favorites,jbalvinVEVO,234137321,2020-01-10T00:00:10Z,1976255,47657,d5ZVaWxkAaQ
23,J Balvin - Reggaeton (Official Video),Favorites,jbalvinVEVO,255722106,2018-11-17T04:58:16Z,1932156,42974,6DHDIDgn2oA
24,"J Balvin, Willy William - Mi Gente (Official Video)",Favorites,jbalvinVEVO,3236098234,2017-06-30T04:00:05Z,17722246,522956,wnJ6LuUFpMo
25,J Balvin - Sigo Extrañándote (Official Video),Favorites,jbalvinVEVO,502935993,2017-02-17T05:00:04Z,1998515,55249,nZ0zbsZOdwg
26,J. Balvin - Ahora (Official Video),Favorites,jbalvinVEVO,230478995,2018-02-26T05:00:01Z,1029670,30072,BQ31l1gPGKM
27,J Balvin - 6 AM ft. Farruko,Favorites,jbalvinVEVO,1191956910,2014-04-04T19:30:01Z,2996229,68452,yUV9JwiQLog
28,J. Balvin - Ginza (Official Video),Favorites,jbalvinVEVO,859865885,2015-07-21T16:00:03Z,3510564,121630,zZjSX01P5dE
29,"J Balvin, Zion & Lennox - No Es Justo (Official Video)",Favorites,jbalvinVEVO,760140587,2018-06-29T04:00:00Z,2191139,43078,2zn4dAuZ2RU
30,J Balvin - Yo Te Lo Dije (Official Video),Favorites,jbalvinVEVO,221202000,2012-07-03T07:00:11Z,1119647,33989,-l9FX_H7DPo
31,J. Balvin - Malvada (Official Video),Favorites,jbalvinVEVO,16505185,2016-09-16T07:00:02Z,136913,1630,F8fcNpBdOWo
32,J Balvin - Amarillo (Official Video),Favorites,jbalvinVEVO,174107214,2020-03-19T23:00:11Z,2056061,54475,KHAgoT4FZbc
33,J Balvin - Tranquila (Official Video),Favorites,jbalvinVEVO,498905100,2012-12-18T16:53:34Z,2136585,92306,HWyEEj2pSt0
34,J Balvin - Bobo (Official Video),Favorites,jbalvinVEVO,648517417,2016-05-13T15:00:01Z,2189185,77515,0GvLP2C2w9U
35,J Balvin - Ambiente (Official Video),Favorites,jbalvinVEVO,417824078,2018-04-13T05:00:05Z,1489757,33040,rzgw0XldTC0
