,Vid-Title,Playlist-Name,channel-Title,Views,Published-date,Likes,Comment-count,Vid-ID
0,J Balvin & Ed Sheeran - Forever My Love [Official Video],J Balvin,Ed Sheeran,18166683,2022-03-25T00:00:12Z,450989,14381,bqtMJ391poA
1,J Balvin & Ed Sheeran - Sigue [Official Video],J Balvin,jbalvinVEVO,27973997,2022-03-25T00:00:08Z,459247,18223,8pIzxS_G8-g
2,"J Balvin, Ed Sheeran - Sigue (Lyric Video)",J Balvin,jbalvinVEVO,527009,2022-05-31T16:00:02Z,13113,270,3dCARL28qKs
3,"J Balvin, Ed Sheeran - Forever My Love (Lyric Video)",J Balvin,jbalvinVEVO,588735,2022-05-31T16:00:25Z,15738,449,nKYFMqmV_Hg
4,"J Balvin, Willy William - Mi Gente (Official Video)",J Balvin,jbalvinVEVO,3236210587,2017-06-30T04:00:05Z,17722967,522973,wnJ6LuUFpMo
5,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,J Balvin,NickyJamTV,2166876081,2018-03-02T05:00:19Z,10015003,262745,_I_D_8Z4sJE
6,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",J Balvin,RosaliaVEVO,2090744022,2019-03-28T17:00:06Z,9434365,281936,p7bfOZek9t4
7,J. Balvin - Ay Vamos (Official Video),J Balvin,jbalvinVEVO,1937818523,2014-08-29T16:06:21Z,5415724,133196,TapXs54Ah3E
8,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",J Balvin,Anuel AA,2035286429,2019-07-19T14:03:10Z,8553225,307522,0VR3dfZf9Yg
9,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",J Balvin,JhayCortezVEVO,2066503662,2019-05-17T04:00:03Z,6104058,108618,w2C6RhQBYlg
10,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",J Balvin,Cardi B,1558328729,2018-05-29T14:05:10Z,10471688,315683,xTlNMmZKwpA
11,"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",J Balvin,ChrisJediVEVO,1375135648,2017-03-20T04:00:01Z,4904588,156721,c73Cu3TQnlg
12,J Balvin - 6 AM ft. Farruko,J Balvin,jbalvinVEVO,1191971852,2014-04-04T19:30:01Z,2996388,68452,yUV9JwiQLog
13,Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),J Balvin,Zion & Lennox,1230119518,2016-08-05T15:00:01Z,2936411,77088,6R5i6wQCOCQ
