,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name
0,J Balvin & Ed Sheeran - Forever My Love [Official Video],Ed Sheeran,2022-03-25T00:00:12Z,18178671,451074,14381,bqtMJ391poA,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits
1,J Balvin & Ed Sheeran - Sigue [Official Video],jbalvinVEVO,2022-03-25T00:00:08Z,27984058,459303,18224,8pIzxS_G8-g,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits
2,"J Balvin, Ed Sheeran - Sigue (Lyric Video)",jbalvinVEVO,2022-05-31T16:00:02Z,527897,13127,270,3dCARL28qKs,PLWgVwtnp9KuifdEI3hEo0feBlmBjcUyJw,"Sigue + Forever My Love - J Balvin, Ed Sheeran"
3,"J Balvin, Ed Sheeran - Forever My Love (Lyric Video)",jbalvinVEVO,2022-05-31T16:00:25Z,589662,15757,449,nKYFMqmV_Hg,PLWgVwtnp9KuifdEI3hEo0feBlmBjcUyJw,"Sigue + Forever My Love - J Balvin, Ed Sheeran"
4,"J Balvin, Willy William - Mi Gente (Official Video)",jbalvinVEVO,2017-06-30T04:00:05Z,3237018228,17727069,523168,wnJ6LuUFpMo,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
5,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,2018-03-02T05:00:19Z,2167254920,10016542,262744,_I_D_8Z4sJE,PLWgVwtnp9Kujc0edcQGrsIwJg2TDLESqC,Collaborations
6,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",RosaliaVEVO,2019-03-28T17:00:06Z,2091163305,9436059,281949,p7bfOZek9t4,PLWgVwtnp9Kujc0edcQGrsIwJg2TDLESqC,Collaborations
7,J. Balvin - Ay Vamos (Official Video),jbalvinVEVO,2014-08-29T16:06:21Z,1938212878,5417130,133207,TapXs54Ah3E,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
8,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",Anuel AA,2019-07-19T14:03:10Z,2036188273,8555578,307536,0VR3dfZf9Yg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
9,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",JhayCortezVEVO,2019-05-17T04:00:03Z,2067787869,6106704,108638,w2C6RhQBYlg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
10,"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",Cardi B,2018-05-29T14:05:10Z,1558693164,10473348,315725,xTlNMmZKwpA,PLWgVwtnp9Kujc0edcQGrsIwJg2TDLESqC,Collaborations
11,"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel",ChrisJediVEVO,2017-03-20T04:00:01Z,1375421989,4905552,156722,c73Cu3TQnlg,PLWgVwtnp9KuiYAFsyI-UesxcoF8YOxMv0,J Balvin x Top 15
12,J Balvin - 6 AM ft. Farruko,jbalvinVEVO,2014-04-04T19:30:01Z,1192217933,2997365,68458,yUV9JwiQLog,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
13,Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),Zion & Lennox,2016-08-05T15:00:01Z,1230771251,2937481,77097,6R5i6wQCOCQ,PLWgVwtnp9KuiYAFsyI-UesxcoF8YOxMv0,J Balvin x Top 15
14,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",jbalvinVEVO,2016-09-02T07:00:00Z,1101368089,3933538,92688,JWESLtAKKlU,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
15,J Balvin - Si Tu Novio Te Deja Sola ft. Bad Bunny (Official Video),jbalvinVEVO,2017-03-04T00:00:01Z,1002836935,3627181,117612,Km4BayZykwE,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
16,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",BlackEyedPeasVEVO,2019-10-11T04:00:04Z,1042179881,6496391,130709,EzKkl64rRbM,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
17,"David Guetta, Bebe Rexha & J Balvin - Say My Name (Official Video)",David Guetta,2018-11-20T19:00:06Z,992451760,5768203,90681,ft4jcPSLJfY,PLWgVwtnp9KuiYAFsyI-UesxcoF8YOxMv0,J Balvin x Top 15
18,Sensualidad - Bad Bunny X Prince Royce X J Balvin X Dj Luian X Mambo Kingz,Hear This Music,2017-11-03T04:00:11Z,906654471,4156364,140469,ovX1HloCgdA,PLWgVwtnp9KuiYAFsyI-UesxcoF8YOxMv0,J Balvin x Top 15
19,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)",jbalvinVEVO,2016-09-02T07:00:00Z,1101368089,3933538,92688,JWESLtAKKlU,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
20,"J. Balvin, Jowell & Randy - Bonita (Official Video)",jbalvinVEVO,2017-06-02T04:00:00Z,441999817,2011129,54766,SqpvOqRieYY,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
21,J. Balvin - Ay Vamos (Official Video),jbalvinVEVO,2014-08-29T16:06:21Z,1938212878,5417130,133207,TapXs54Ah3E,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
22,J Balvin - Morado (Official Video),jbalvinVEVO,2020-01-10T00:00:10Z,234188883,1976475,47656,d5ZVaWxkAaQ,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
23,J Balvin - Reggaeton (Official Video),jbalvinVEVO,2018-11-17T04:58:16Z,255748646,1932328,42974,6DHDIDgn2oA,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
24,"J Balvin, Willy William - Mi Gente (Official Video)",jbalvinVEVO,2017-06-30T04:00:05Z,3237018228,17727069,523168,wnJ6LuUFpMo,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
25,J Balvin - Sigo Extrañándote (Official Video),jbalvinVEVO,2017-02-17T05:00:04Z,502995545,1998897,55255,nZ0zbsZOdwg,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
26,J. Balvin - Ahora (Official Video),jbalvinVEVO,2018-02-26T05:00:01Z,230505174,1029755,30061,BQ31l1gPGKM,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
27,J Balvin - 6 AM ft. Farruko,jbalvinVEVO,2014-04-04T19:30:01Z,1192217933,2997365,68458,yUV9JwiQLog,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
28,J. Balvin - Ginza (Official Video),jbalvinVEVO,2015-07-21T16:00:03Z,859927214,3511091,121631,zZjSX01P5dE,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
29,"J Balvin, Zion & Lennox - No Es Justo (Official Video)",jbalvinVEVO,2018-06-29T04:00:00Z,760305858,2191610,43083,2zn4dAuZ2RU,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
30,J Balvin - Yo Te Lo Dije (Official Video),jbalvinVEVO,2012-07-03T07:00:11Z,221243887,1119924,33990,-l9FX_H7DPo,PLWgVwtnp9KujwAcs9qtGqXylDTvNG0Bi6,J Balvin x Fiesta
31,J. Balvin - Malvada (Official Video),jbalvinVEVO,2016-09-16T07:00:02Z,16505932,136917,1630,F8fcNpBdOWo,PLWgVwtnp9Kujmumt02_c3KqE3CqzsaG_j,ENERGÍA ⚡ 5-YEAR-ANNIVERSARY
32,J Balvin - Amarillo (Official Video),jbalvinVEVO,2020-03-19T23:00:11Z,174139123,2056233,54475,KHAgoT4FZbc,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
33,J Balvin - Tranquila (Official Video),jbalvinVEVO,2012-12-18T16:53:34Z,498998989,2137159,92313,HWyEEj2pSt0,FLt-k6JwNWHMXDBGm9IYHdsg,Favorites
34,J Balvin - Bobo (Official Video),jbalvinVEVO,2016-05-13T15:00:01Z,648605764,2189605,77517,0GvLP2C2w9U,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
35,J Balvin - Ambiente (Official Video),jbalvinVEVO,2018-04-13T05:00:05Z,417880948,1489923,33041,rzgw0XldTC0,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
36,"J. Balvin, Jeon, Anitta - Machika (Official Video)",jbalvinVEVO,2018-01-19T05:00:01Z,206977047,2141859,99344,liczsmUSMA4,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
37,"J Balvin, Dua Lipa, Bad Bunny, Tainy - UN DIA (ONE DAY)",jbalvinVEVO,2020-07-24T00:00:11Z,360224823,2922192,83200,BjhW3vBA1QU,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits
38,J BALVIN x BAD BUNNY - LA CANCIÓN | OASIS (Video Oficial),Bad Bunny,2019-10-14T19:13:38Z,666229097,2858043,53674,LxOTsiV4tkQ,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
39,J. Balvin - Suerte (Official Audio),jbalvinVEVO,2021-09-10T04:00:13Z,1089848,23167,486,_OVkIu1VrKQ,PLWgVwtnp9Kujk7T6b_OyDGowlPNC_BDZ6,J Balvin x Romántico
40,"J Balvin, Khalid - Otra Noche Sin Ti (Official Video)",jbalvinVEVO,2021-04-09T04:00:12Z,42593395,518139,11974,qrTiyVEW8gc,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits
41,"J. Balvin, Feid - Bebé Que Bien Te Ves (Official Audio)",jbalvinVEVO,2021-09-10T04:00:08Z,12134148,133800,3188,H3U2A_NwNkY,PLWgVwtnp9KujXASQJ5gPUqHlEeLx-A4IE,JOSE
42,Brillo,J Balvin - Topic,2018-05-24T11:22:43Z,21538348,150261,959,nxiZwt35ETQ,PLWgVwtnp9Kuhjlg5ndFkjRk70orMVLToN,J Balvin x Suave
43,J. Balvin - Que Locura (Official Video),jbalvinVEVO,2021-08-13T04:00:09Z,10817805,166569,5116,rqAV8VcY6RQ,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits
44,J. Balvin - Veneno (Official Video),jbalvinVEVO,2016-09-16T07:00:01Z,4774861,37086,747,6xxaz3Sb1fk,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits
45,J. Balvin - Fantasías (Official Audio),jbalvinVEVO,2021-09-10T04:00:16Z,1389637,27310,585,qvlQc7a0WWk,PLWgVwtnp9Kuhjlg5ndFkjRk70orMVLToN,J Balvin x Suave
46,"J. Balvin, Jay Wheeler - Otro Fili (Official Video)",jbalvinVEVO,2021-06-11T00:00:09Z,36804014,450326,9422,Kjys7M4PB4s,PLWgVwtnp9KugkkGeBPwo8I8c2wdRayTtz,VIDEOS
47,J. Balvin - Querido Río (Official Audio),jbalvinVEVO,2021-09-10T04:00:16Z,766556,36946,1380,mTeSVeCl0Ec,PLWgVwtnp9KujXASQJ5gPUqHlEeLx-A4IE,JOSE
48,"J Balvin, Carla Morrison - Vibras (Audio)",jbalvinVEVO,2018-05-25T04:00:05Z,4019481,40930,1500,GZcQNebnWrU,PLWgVwtnp9Kuhjlg5ndFkjRk70orMVLToN,J Balvin x Suave
49,J. Balvin - Lo Que Dios Quiera (Official Audio),jbalvinVEVO,2021-09-10T04:00:11Z,2428231,45302,835,ck6gq7eUasA,PLWgVwtnp9Kuhjlg5ndFkjRk70orMVLToN,J Balvin x Suave
50,J Balvin - En Mí (Audio),jbalvinVEVO,2018-05-25T04:00:03Z,3196579,39700,1271,oJqkJ-O67eA,PLWgVwtnp9Kuhjlg5ndFkjRk70orMVLToN,J Balvin x Suave
51,J Balvin - Noches Pasadas (Audio),jbalvinVEVO,2018-05-25T04:00:02Z,4738457,38080,1066,_qh3A7W5XPw,PLWgVwtnp9Kuhjlg5ndFkjRk70orMVLToN,J Balvin x Suave
52,"J. Balvin, Ozuna - Pa' Guayarte (Official Audio)",jbalvinVEVO,2021-09-10T04:00:30Z,2991611,66792,2010,kAYrQdmIUH4,PLWgVwtnp9KujXASQJ5gPUqHlEeLx-A4IE,JOSE
53,J Balvin - Rojo (Official Video),jbalvinVEVO,2020-02-28T00:00:11Z,353725168,3444261,84834,_tG70FWd1Ds,PLWgVwtnp9KugbCR6Iw8f26137Udli6Jtq,Music Videos
54,J Balvin & Ed Sheeran - Forever My Love [Official Video],Ed Sheeran,2022-03-25T00:00:12Z,18178671,451074,14381,bqtMJ391poA,PLWgVwtnp9KujNWv3gI631ccra2Pr44ccH,J Balvin x Hits
